Time,Volume,ATR,p1wick,p1body,p1tail,p1dir,p2wick,p2body,p2tail,p2dir,p3wick,p3body,p3tail,p3dir,ans
10,153567,0.0048848,0.0024400,0.0002500,0.0011700,1,0.0018300,0.0064500,0.0006900,1,0.0004000,0.0013100,0.0031100,0,L
14,95278,0.0047294,0.0007400,0.0011400,0.0008300,0,0.0024400,0.0002500,0.0011700,1,0.0018300,0.0064500,0.0006900,1,L
18,54609,0.0046045,0.0008800,0.0003200,0.0017800,0,0.0007400,0.0011400,0.0008300,0,0.0024400,0.0002500,0.0011700,1,L
22,150257,0.0045877,0.0006500,0.0033300,0.0003900,0,0.0008800,0.0003200,0.0017800,0,0.0007400,0.0011400,0.0008300,0,L
02,241371,0.0047236,0.0016100,0.0042200,0.0006600,1,0.0006500,0.0033300,0.0003900,0,0.0008800,0.0003200,0.0017800,0,L
06,176054,0.0047948,0.0004000,0.0021200,0.0032000,0,0.0016100,0.0042200,0.0006600,1,0.0006500,0.0033300,0.0003900,0,L
10,150821,0.0046894,0.0012000,0.0013300,0.0007900,1,0.0004000,0.0021200,0.0032000,0,0.0016100,0.0042200,0.0006600,1,L
14,93966,0.0046095,0.0006600,0.0023300,0.0005800,0,0.0012000,0.0013300,0.0007900,1,0.0004000,0.0021200,0.0032000,0,L
18,55672,0.0044681,0.0011400,0.0008000,0.0006900,1,0.0006600,0.0023300,0.0005800,0,0.0012000,0.0013300,0.0007900,1,L
22,149896,0.0045454,0.0005900,0.0043000,0.0006600,1,0.0011400,0.0008000,0.0006900,1,0.0006600,0.0023300,0.0005800,0,L
